,job_title,company_name,location,post_date,job_description,salary
0,Data Scientist for Production Staff (CODE : PROD DA),PT Panasonic Gobel Energy Indonesia (PECGI),"Bekasi Regency, West Java",Posted 18d ago,"About the role

We are seeking a talented Data Scientist to join our dynamic Production team at PT Panasonic Gobel Energy Indonesia (PECGI) in Cikarang, Bekasi Regency, West Java. As a fulltime employee, you will play a crucial role in driving data-driven decision making and optimising our production processes.
What you'll be doing
Collect, analyse and interpret data from various production systems to identify trends, patterns and opportunities for improvement
Develop and maintain reporting dashboards to provide real-time visibility into production performance
Collaborate with cross-functional teams to implement data-driven solutions that enhance efficiency and productivity
Assist in the design and development of database structures to support the organisation's data management needs
Provide data-driven recommendations to management to drive strategic decision making
Stay up-to-date with the latest data analysis tools and techniques to continuously improve processes
What we're looking for
D3/S1 Majoring in Data Science, Information Technology, Computer Science, Mathematic or Statistic
Proficient in data analysis tools and techniques, including Phyton, SQL, Excel, and data visualization software
Strong problem-solving and critical thinking skills with the ability to interpret data and draw meaningful insights
Excellent communication and presentation skills to effectively convey data-driven insights to stakeholders
Familiarity with production processes and an understanding of manufacturing operations
Attention to detail and a keen interest in continuous improvement

If you are ready to embark on an exciting data-driven journey with us, we encourage you to apply now.",Not Available
1,IT Consultant (Data Scientist/Engineer),PT. IDX CONSULTING,Jakarta,Posted 9d ago,"Description
id/x partners provides consulting services specializing in Data, Analytics, and Decisioning solutions. We help organizations leverage data-driven insights, advanced analytics, and modern data platforms to optimize business performance, risk management, and operational efficiency.
As an IT Consultant (Data Scientist / Data Engineer), you will have the opportunity to work on various client projects, helping organizations transform raw data into valuable business insights and scalable data solutions. You will collaborate with multidisciplinary teams to solve complex business challenges through data engineering, analytics, and machine learning technologies.
Responsibilities
Work within project teams to solve data-related challenges, including data quality, integration, transformation, and analytics.
Design, develop, and maintain ETL/ELT processes and data pipelines.
Build and optimize data structures, databases, and data warehouses based on business and product requirements.
Analyze large datasets to identify trends, patterns, and actionable insights.
Develop, implement, and optimize machine learning and analytical models to support business objectives.
Perform data validation, query testing, and data quality assurance to ensure accuracy and reliability.
Collaborate with business users, project managers, and technical teams to gather requirements and deliver data-driven solutions.
Define best practices for data migration, conversion, and governance.
Support project implementation, deployment, and continuous improvement initiatives.
Research and evaluate emerging technologies, tools, and methodologies related to Data Engineering and Data Science.
Requirements
Bachelor's Degree in Computer Science, Information Systems, Informatics, Statistics, Mathematics, Engineering, or related fields.
Minimum 2 years of experience in Data Engineering, Data Science, Data Analytics, or related fields.
Experience in Banking, Financial Services, Insurance, or Consulting industries is preferred.
Proficiency in SQL and Python.
Experience in at least one of the following areas:
Data Engineering: ETL/ELT, Data Warehouse, Data Modeling, Data Integration, Big Data Processing.
Data Science: Machine Learning, Statistical Analysis, Predictive Modeling, MLOps, Data Visualization.
Experience with data integration tools such as SSIS, Talend, DataStage, or similar technologies.
Familiarity with Big Data technologies such as Spark, Hadoop, Cloudera, or equivalent platforms is an advantage.
Strong analytical thinking and problem-solving skills.
Data-oriented mindset with a passion for working with large-scale data.
Positive attitude, self-motivated, and able to work effectively both independently and within teams.
Excellent verbal and written communication skills.
Comfortable working directly with clients and collaborating across multiple project stakeholders.",Not Available
2,Data Engineer,PT ROCKSTAR SPORTS SCHOOL,"West Jakarta, Jakarta",Posted 1d ago,"Job Descriptions:
Perform data exploration, data cleaning, data imputation, and feature engineering on unstructured and structured data.
Design, Develop and maintain report used for daily operation, management and analytics
Build the infrastructure for optimal extraction, transformation, and loading (ETL) of data from a wide variety of data sources.
Develop and maintain all data flows and prepare all ETL processes according to business requirements and incorporate all business requirements into all design specifications
Identifying, designing and implementing internal process improvements including re-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processes 
Build analytics tools that utilize the data pipeline to provide actionable insights
Explore ways to enhance data quality and reliability Explore ways to enhance data quality and reliability
Document all test procedures for systems and processes              

Job Requirements:
Bachelor's degree from computer science or related fields, or equivalent software engineering experience.
Advanced SQL knowledge and experience working with relational databases, query authoring (SQL). Preferably on MS SQL
Advanced Knowledge in reporting service tools. Preferably Microsoft SSRS
Advanced Knowledge in ETL / data pipeline applications. Preferably Microsoft SSIS.
Experienced in performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Have an understanding and experience regarding the reporting dashboard and data warehouse concepts
Experienced in object-oriented/object function scripting languages: Python, Java, C#,C++, 
Proficiency in source control i.e. Git.
Got 2+ years of experience in Data Engineering role.
Familiar with Azure ETL product like Azure Data Factory, Azure Synapse, Azure Datalake, Azure Devops would be a great addition.",Rp 10.000.000 – Rp 15.000.000 per month
3,Classified Operation Analyst (Business Intelligence),OLX Indonesia,"South Jakarta, Jakarta",Posted 21d ago,"Memelihara dan mengoptimalkan dasbor pelaporan untuk memantau kinerja operasional dan performa campaign Classified secara real-time.
Menjamin kualitas, akurasi, relevansi, dan konsistensi data di seluruh laporan kinerja tim guna menghindari kesalahan pengambilan keputusan.
Menyusun dan menyajikan laporan berkala mengenai metrik operasional utama kepada manajemen dan pemangku kepentingan (stakeholders).
Menentukan prioritas analitik dan mengarahkan fokus analisis berdasarkan kebutuhan mendesak operasional (seperti deteksi fraud, kualitas konten, efektivitas campaign, dll).
Mengembangkan insight berbasis data dari aktivitas operasional harian untuk mengidentifikasi area yang memerlukan perbaikan (improvement).
Memberikan rekomendasi strategis guna meningkatkan efisiensi proses kerja dan menjaga standar kualitas operasional tertinggi.
Memberikan dukungan penuh (end-to-end support) terhadap seluruh proyek yang diinisiasi oleh tim Classified Operation dan Sales untuk memastikan pencapaian target divisi.
Berkolaborasi secara aktif dengan tim Bisnis, Produk, Teknologi, dan Operasional dalam mendukung pengembangan inisiatif baru.
Mengawal integrasi berbasis data dalam setiap proses optimasi sistem atau peluncuran fitur baru bersama tim teknologi dan produk.",Rp 7.000.000 – Rp 10.000.000 per month
4,Data Scientist,PT Global Tiket Network,Jakarta,Posted 30d+ ago,"We think you also hate when travel app is giving you a headache, right? A slight misinformation can ruin the trip.
That is exactly what we are tackling as t-fam! Making sure that our 50+ million users have the best experience in crafting their own adventure.
Your main duties in flying with us :
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Design, build, and validate robust data models and machine learning/ deep learning algorithms to improve customer experience, optimize revenue, refine targeting, and support smarter decision making across the organization.
Plan, monitor, and evaluate A/B tests and other experimentation activities for ML models, including test design, success metrics, and model performance assessment.
Collaborate closely with machine learning engineers, and other stakeholders to productionize models, build scalable data pipelines, and ensure reliable deployment and monitoring of ML solutions.
Implement processes, dashboards, and tools to monitor data quality, model performance, and business impact, and iterate on solutions based on findings.
Communicate insights, trade‑offs, and recommendations clearly to both technical and non‑technical audiences through reports, visualizations, and presentations.
Mandatory belongings that you must prepare :
Minimum 4 years of hands‑on experience in data analysis and machine learning, ideally in a product‑driven or business‑focused environment.
A Bachelor in Computer Science, Statistics, Mathematics, or another quantitative field.
Strong problem solving skills with an emphasis on product development.
Proficient in programming skills (R, Python, SQL, etc.) for data acquisition, processing and analysis from large data sets.
Knowledge of data science concepts (regression, classification, clustering, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Knowledge of a variety of machine learning techniques (Random forest, SVM, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
In the event that you haven’t received any updates after 3 weeks, your data will be kept and we may contact you for another career destination. Meanwhile, discover more about tiket.com on Instagram, LinkedIn, or YouTube.",Not Available
5,DATA ANALYST,Kompas Gramedia Group of Manufacture,"Purwakarta Regency, West Java",Posted 3d ago," Kualifikasi:
Pendidikan S1 Statistika
Memiliki kemampuan analisa, pengolahan dan perencanaan data yang baik
Memiliki kemampuan komunikasi & kemampuan presentasi yang baik",Not Available
6,Artificial Intelligence Engineer,PT Macbramindo Harum Abadi,"South Tangerang, Banten",Posted 4d ago,"Deskripsi Singkat Pekerjaan (Job Summary)
AI Engineer bertanggung jawab untuk membangun, melatih, dan menerapkan model kecerdasan buatan (AI) dalam produk dan proses bisnis perusahaan. Peran ini mencakup riset teknis, pengembangan model machine learning atau deep learning, serta integrasi ke dalam sistem produksi.
Kualifikasi (Qualifications)
Hard Skills:
• Menguasai bahasa pemrograman Python (wajib), opsional: R, C++.
• Menguasai pustaka AI/ML seperti TensorFlow, PyTorch, Scikit-learn.
• Paham algoritma machine learning (regresi, klasifikasi, clustering, boosting, dll).
• Paham deep learning (CNN, RNN, Transformer, LSTM).
• Pengalaman dengan data preprocessing dan feature engineering.
• Familiar dengan deployment tools: Docker, FastAPI, Flask, atau REST API.
• Pengalaman dengan cloud AI platforms (AWS SageMaker, GCP Vertex AI, Azure ML) menjadi nilai tambah.
Soft Skills:
• Kuat dalam problem-solving dan analisis logis.
• Mampu bekerja kolaboratif dalam tim lintas fungsi.
• Mampu menyampaikan hasil teknis ke stakeholder non-teknis.
Latar Belakang Pendidikan:
• S1/S2 di bidang Ilmu Komputer, Matematika, Teknik Informatika, Statistik, atau bidang relevan lainnya.
• Sertifikasi seperti Google Cloud ML Engineer, TensorFlow Developer, atau lainnya adalah nilai tambah.
Pengalaman:
• Fresh graduate dengan portofolio kuat dipertimbangkan.
• Untuk level mid-senior: 2–5 tahun pengalaman dalam pengembangan model AI/ML.",Rp 6.000.000 – Rp 8.000.000 per month
7,Data Scientist Intern,PT GOTO GOJEK TOKOPEDIA TBK,Jakarta,Posted 24d ago,"About the Role
We are looking for a dynamic, energetic intern to join our team and contribute to the development of our in-house Large Language Model (LLM). In this role, you'll tackle the challenges of data collection, validation, and labeling, directly impacting the quality and effectiveness of our LLM. You'll work closely with our data science and engineering teams, participating in daily standups, and collaborating on live production projects. Over the first six months, you’ll gain hands-on experience in managing and preparing large datasets, ensuring the quality of our AI models, and contributing to cutting-edge AI projects that drive real business value.
About the Team
The GoTo Data Science team is at the forefront of building critical machine learning components that ensure GoTo remains a safe, trusted, and enjoyable platform for digital payments. Our diverse team combines skills in mathematics, statistics, machine learning, and deep learning to solve some of the most challenging business problems in GoPay. We are passionate about both the technical aspects of data science and the tangible business impact of our models. Our collaborative environment encourages sharing knowledge, discussing new ideas, and learning from one another through various internal forums and presentations.
About GoTo Group
GoTo is the largest digital ecosystem in Indonesia. GoTo's mission is to 'empower progress' by offering technology infrastructure and solutions that help everyone to access and thrive in the digital economy.
The GoTo ecosystem provides a wide range of services, including mobility, delivery, payments, financial services, and technology solutions for merchants. The ecosystem also provides e-commerce services through Tokopedia and banking services through its partnership with Bank Jago.
About Gojek 
Gojek is Southeast Asia’s leading on-demand platform and pioneer of the multi-service ecosystem with over 2.5 million driver partners across the regions offering a wide range of services such as transportation, food delivery, logistics and more. With its mission to create impact at scale, Gojek is committed to resolving consumer problems and raising standards of living by connecting consumers to the best providers of goods and services in the market.
About GoTo Financial
GoTo Financial accelerates financial inclusion through its leading financial services and merchants solutions. Its consumer services include GoPay and GoPayLater and serve businesses of all sizes through Midtrans, Moka, GoBiz Plus, GoBiz, and Selly. With its trusted and inclusive ecosystem of products, GoTo Financial is open to new growth opportunities and aims to empower everyone to Make It Happen, Make It Together, Make It Last.
GoTo and its business units, including Gojek and GoToFinancial (""GoTo"") only post job opportunities on our official channels on our respective company websites and on LinkedIn. GoTo is not liable for any job postings or job offers that did not originate from us. You should conduct your own due diligence to prevent being victims of any fake job scams, if they did not originate from GoTo's official recruitment channels.
#LI-ONSITE",Not Available
8,Data Analyst,PT GLOBAL JET EXPESS (Cabang Lampung),"Bandar Lampung, Lampung",Posted 7d ago,"Position : Data Analyst
Lokasi : Bandar Lampung
Employee Type : Full-time
Report to : Manager Network Management
Work Arrangement : WFO / On-Site
Data analyst bertanggung jawab dalam mengolah, menganalisis, dan menginterpretasikan data operasional logistik untuk menghasilkan insight yang mendukung peningkatan efisiensi pengiriman, optimalisasi rute, pemanfaatan armada, produktivitas gudang, serta peningkatan kualitas layanan pelanggan.
Kualifikasi
Pendidikan min. S1 jurusan Statistik, Matematika, Teknik Industri, Sistem Informasi, Supply Chain Management, Data Science atau bidang terkait
Memiliki pengalaman min. 2-3 tahun sebagai Data Analyst, Business Analyst atau Operational Analyst
Diutamakan memiliki pengalaman di industri ekspedisi, logistik, transportasi, e-commerce fulfillment, atau supply chain
Mahir menggunakan SQL untuk data extraction, data analysis dan penggunaan tools visualisasi data seperti Power BI, Tableau, atau Looker Studio
Menguasai Microsoft Excel tingkat lanjut (Pivot Table, Power Query, VBA) dan memahami konsep database, ETL, data warehouse dan data quality
Memiliki kemampuan analitis, problem solving yang kuat, teliti, detail serta mampu mengelola banyak prioritas dan deadline
Job Description
Memantau performa pengiriman berdasarkan KPI yang telah ditetapkan
Mengidentifikasi penyebab keterlambatan pengiriman dan bottleneck operasional
Memberikan rekomendasi perbaikan berbasis data untuk meningkatkan SLA dan produktivitas
Mengembangkan dashboard interaktif menggunakan Power BI/Tableau
Menyajikan insight bisnis dalam bentuk visualisasi yang mudah dipahami
Mendukung tim operasional dalam pengambilan keputusan berbasis data terkait alokasi kurir, kendaraan, dan kapasitas hub
Melakukan data cleansing dan investigasi apabila ditemukan anomali data
Melakukan root cause analysis terhadap masalah operasional
Mengusulkan dan memonitor implementasi improvement project berbasis data untuk meningkatkan produktivitas dan kualitas layanan",Not Available
9,Data Analyst,PT Nusantara Sakti Group (JAKARTA),"West Jakarta, Jakarta",Posted 17d ago,"Kualifikasi:
Pendidikan minimal S1 jurusan Statistika, Matematika, Accounting, Aktuaria, Sistem Informasi, Teknik Informatika dan jurusan relevan lainnya
Pengalaman minimal 1–3 tahun sebagai Data Analyst / Business Analyst (fresh graduate dipersilakan melamar jika memiliki background pengalaman yang kuat)
Menguasai Excel minimal intermediate , kemampuan SQL / Power BI / Tableu menjadi nilai tambah
Memiliki kemampuan analisis dan problem solving yang baik
Mampu menganalisa data dalam jumlah besar dan membuat forecasting
Inisiatif, Komunikatif dan Detail-oriented
Memiliki ketertarikan dan pemahaman tentang dunia bisnis
Memahami Business Process Management menjadi nilai tambah
Penempatan Jakarta Barat

Deskripsi Pekerjaan:
Mengumpulkan, mengolah, dan menganalisis data dari berbagai sumber untuk mendukung kebutuhan bisnis
Mengidentifikasi tren, pola, dan insight dari data untuk membantu pengambilan keputusan
Mampu mengolah, menganalisa, mengintepretasi, dan memvisualisasi data sesuai bisnis/divisi yang menjadi tanggung jawab
Memberikan rekomendasi strategis berdasarkan hasil analisis
Menerjemahkan konsep improvement bisnis menjadi kebutuhan sistem (system requirement)
Berkoordinasi dengan tim IT untuk memastikan pemahaman kebutuhan sistem sesuai dengan konsep bisnis
Melakukan analisa ulang apabila hasil penerapan belum sesuai ekspektasi, sehingga terbentuk pola continuous development / continuous improvement agar sistem dan proses terus berkembang secara berkelanjutan.
Berkolaborasi dengan tim bisnis untuk memahami kebutuhan data dan KPI
Mempersiapkan laporan bulanan, triwulan, dan tahunan",Rp 7.000.000 – Rp 10.000.000 per month
